127.0.0.1 - - [20/May/2017:16:10:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/May/2017:16:10:46 +0530] "GET /project1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/May/2017:16:10:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/May/2017:16:11:36 +0530] "GET /project1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:12 +0530] "GET /project1/admin/product/productform HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:12 +0530] "GET /project1/admin/product/resources/images/igg.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:12 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:13 +0530] "GET /project1/admin/product/resources/images/igg.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:13 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/homePage HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/resources/images/bm1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:16:12:19 +0530] "GET /project1/resources/images/s1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2017:16:15:38 +0530] "GET /project1/homePage HTTP/1.1" 200 5895
